title,date_or_period,author_or_creator,description_or_abstract,url_to_original_object,manuscript_id_or_shelfmark,material,dimensions,trove_category,trove_record_type,trove_id,trove_url
MASSACRE OF ARMENIANS. A TURKISH ATROCITY.,1920-11-03,,"LONDON, Mon.—Advices from Mersinia state that the Turks have captured Hajin and massacred 10,000 Armenians.",https://nla.gov.au/nla.news-article121989939?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,121989939,https://nla.gov.au/nla.news-article121989939?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"THE ARMENIAN HORRORS. 1,000,000 PEOPLE MASSACRED.",1916-04-17,,"AMSTERDAM, Sunday.--The Cologne correspondent of the Catholic paper, ""De Tijd,"" states that the Catholic authorities in Germany have received advices from the Catholic",https://nla.gov.au/nla.news-article238785645?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,238785645,https://nla.gov.au/nla.news-article238785645?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
TURKS IN ARMENIA. DELAYED BY REBELLION. Wholesale Massacres.,1915-05-11,,"The Turkish commander, Diemal Pasha, who is stated to have 150,000 men, and is supported by Kurds, has been checked in his proposed march on Egypt by an",https://nla.gov.au/nla.news-article1516038?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,1516038,https://nla.gov.au/nla.news-article1516038?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
Campaign Against Turkey ARMENIAN SLA[?]GHTER CONTINUES. STRENGTHNING CONSTANTINOPLE DEFENCES.,1915-10-04,,"LONDON, Saturday.—The massacre of the Armenians throughout Turkey is continuing, and it is estimated there are 800,000 victims.",https://nla.gov.au/nla.news-article82795385?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,82795385,https://nla.gov.au/nla.news-article82795385?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
MASSACRES DURING THE WAR TRIALS OF OFFICIALS.,1919-02-25,,"General Desperey has ordered General Limon von Sanders to b,, tried for ordering the massacres of Armenians and Syrians during the war. and three",https://nla.gov.au/nla.news-article51023133?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,51023133,https://nla.gov.au/nla.news-article51023133?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"MASSACRES OF ARMENIANS ORGANISED BY GERMANS NEW YORK, October 2.",1915-10-04,,A French message states that the massacre of Armenians continues Through out Turkey it is estimated there have been eight million victims. Not only is,https://nla.gov.au/nla.news-article124885907?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,124885907,https://nla.gov.au/nla.news-article124885907?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"MASSACRE OF ARMENIANS. GUILTY TO SUFFER, Constantinople, Thursday.",1918-12-14,,"Dr. Rodchid, former Governor of Darebekin, And Lieutenants Chakri and Haroun, have been arrested for the part which they took in the",https://nla.gov.au/nla.news-article152655079?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,152655079,https://nla.gov.au/nla.news-article152655079?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"MASSACRE OF ARMENIANS. AMERICAN MESSAGE TO TURKEY. WASHINGTON, Monday.",1915-10-06,,The United States has decided to inform Turkey that unless the massacres in Armenia cease friendly relations will be threatened.,https://nla.gov.au/nla.news-article120402207?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,120402207,https://nla.gov.au/nla.news-article120402207?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"MASSACRES IN THE EAST. PARIS, February 22.",1919-03-01,,General D'Esperey has ordered Liman von Sanders to be tried for ordering the massacres of Armenians and Syrians during the war. Three Turkish officials will,https://nla.gov.au/nla.news-article69711315?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,69711315,https://nla.gov.au/nla.news-article69711315?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
"THE UNFORTUNATE VICTIMS. MORE TURKISH MASSACRES. London, Friday.",1915-09-11,,"The Mitylene correspondent of the ""Daily Telegraph"" forwards horrible details in regard to what he terms the Turkish fixed policy of",https://nla.gov.au/nla.news-article175029042?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29,,,,newspaper,article,175029042,https://nla.gov.au/nla.news-article175029042?searchTerm=armenian+AND+%28massacre+OR+massacres+OR+atrocities%29
